Ticker,ForeignNet
FAST,28300.0
FASW,0.0
FILM,5529300.0
FIMP,0.0
FIRE,1184500.0
FISH,0.0
FITT,0.0
FLMC,0.0
FMII,0.0
FOLK,646200.0
FOOD,0.0
FORE,-655200.0
FORU,24000.0
FPNI,-173400.0
FUJI,-74400.0
FUTR,-2160100.0
FWCT,-81400.0
GAMA,0.0
GDST,-2200.0
GDYR,-11500.0
GEMA,-900.0
GEMS,-4700.0
GGRM,-219000.0
GGRP,2300.0
GHON,800.0
GIAA,94400.0
GJTL,-361600.0
GLOB,0.0
GLVA,0.0
GMFI,0.0
GMTD,-100.0
GOLD,0.0
GOLF,407800.0
GOLL,0.0
GOOD,100.0
GOTO,-204546500.0
GOTOM,0.0
GPRA,-3642300.0
GPSO,-373800.0
GRIA,-93700.0
GRPH,-1130500.0
GRPM,-18200.0
GSMF,-1400.0
GTBO,64400.0
GTRA,-60400.0
GTSI,3447700.0
GULA,-467100.0
GUNA,16000.0
GWSA,-185800.0
GZCO,-541600.0
HADE,0.0
HAIS,-225100.0
HAJJ,-296000.0
HALO,0.0
HATM,-469100.0
HBAT,-40800.0
HDFA,66100.0
HDIT,-246500.0
HEAL,-9079500.0
HELI,0.0
HERO,0.0
HEXA,22200.0
HGII,-68000.0
HILL,0.0
HITS,0.0
HKMU,0.0
HMSP,-1385400.0
HOKI,1558300.0
HOME,0.0
HOMI,175200.0
HOPE,-1134900.0
HOTL,0.0
HRME,0.0
HRTA,-3687900.0
HRUM,-3245800.0
HUMI,4037800.0
HYGN,0.0
IATA,-3718600.0
IBFN,0.0
IBOS,-6968600.0
IBST,0.0
ICBP,-136500.0
ICON,-464100.0
IDEA,3457400.0
IDPR,0.0
IFII,-2100.0
IFSH,0.0
IGAR,0.0
IIKP,0.0
IKAI,0.0
IKAN,-455000.0
IKBI,0.0
IKPM,0.0
IMAS,-13200.0
IMJS,297000.0
IMPC,-5616800.0
INAF,0.0
INAI,-25400.0
INCF,22700.0
INCI,0.0
INCO,-2404400.0
INDF,835300.0
INDO,-1089700.0
INDR,-5900.0
INDS,-1300.0
INDX,-76800.0
INDY,-551700.0
INET,-91081100.0
INKP,-3950500.0
INOV,710200.0
INPC,-111200.0
INPP,0.0
INPS,-200.0
INRU,0.0
INTA,0.0
INTD,0.0
INTP,540000.0
IOTF,-581700.0
IPAC,0.0
IPCC,-775800.0
IPCM,-71200.0
IPOL,63500.0
IPPE,0.0
IPTV,1700000.0
IRRA,151500.0
IRSX,-2421000.0
ISAP,17000.0
ISAT,995800.0
ISEA,8800.0
ISSP,-127400.0
ITIC,-42000.0
