Ticker,ForeignNet
AADI,-4000.0
AALI,-229800.0
ABBA,0.0
ABDA,0.0
ABMM,-98600.0
ACES,-37566000.0
ACRO,-9241500.0
ACST,-96100.0
ADCP,0.0
ADES,200.0
ADHI,-104900.0
ADMF,-41700.0
ADMG,-157500.0
ADMR,-25253200.0
ADRO,-2979900.0
AEGS,28700.0
AGAR,60600.0
AGII,353000.0
AGRO,-1011700.0
AGRS,8100.0
AHAP,5200400.0
AIMS,-26900.0
AISA,491300.0
AKKU,0.0
AKPI,0.0
AKRA,2948500.0
AKSI,0.0
ALDO,4900.0
ALII,1468900.0
ALKA,-6700.0
ALMI,0.0
ALTO,0.0
AMAG,4900.0
AMAN,649100.0
AMAR,0.0
AMFG,2500.0
AMIN,0.0
AMMN,937300.0
AMMS,-200.0
AMOR,259300.0
AMRT,37773100.0
ANDI,0.0
ANJT,-13500.0
ANTM,-30506300.0
APEX,42000.0
APIC,6100.0
APII,-25000.0
APLI,45600.0
APLN,-5697400.0
ARCI,-11431200.0
AREA,-121300.0
ARGO,-33300.0
ARII,0.0
ARKA,0.0
ARKO,-279500.0
ARMY,0.0
ARNA,-2758700.0
ARTA,100.0
ARTI,0.0
ARTO,-532600.0
ASBI,0.0
ASDM,0.0
ASGR,34800.0
ASHA,3319800.0
ASII,6227500.0
ASJT,-500.0
ASLC,-9067600.0
ASLI,-2917600.0
ASMI,0.0
ASPI,0.0
ASPR,-157300.0
ASRI,187900.0
ASRM,-1300.0
ASSA,446100.0
ATAP,751200.0
ATIC,-900.0
ATLA,-7759400.0
AUTO,465500.0
AVIA,-4926800.0
AWAN,12900.0
AXIO,113300.0
AYAM,-2584400.0
AYLS,-69900.0
BABP,69800.0
BABY,-372500.0
BACA,1025600.0
BAIK,-498700.0
BAJA,-2751300.0
BALI,0.0
BANK,-452300.0
BAPA,63500.0
BAPI,-235300.0
BATA,175800.0
BATR,-3700.0
BAUT,0.0
BAYU,0.0
BBCA,-22040500.0
BBHI,-265100.0
BBKP,-7997100.0
BBLD,0.0
BBMD,0.0
BBNI,8426900.0
BBRI,105416300.0
BBRM,273000.0
BBSI,2200.0
BBSS,-99900.0
BBTN,2323700.0
BBYB,-4115900.0
BCAP,-18600.0
BCIC,-15300.0
BCIP,-66600.0
BDKR,-650100.0
BDMN,430800.0
BEBS,0.0
BEEF,-5437200.0
BEER,-2100.0
BEKS,0.0
BELI,-397300.0
BELL,8777400.0
BESS,-8100.0
BEST,166800.0
BFIN,-965600.0
BGTG,-1327300.0
BHAT,-13900.0
BHIT,500000.0
BIKA,0.0
BIKE,-277700.0
BIMA,0.0
BINA,0.0
BINO,1310200.0
BIPI,-104512900.0
BIPP,0.0
BIRD,357500.0
BISI,-159300.0
BJBR,28800.0
BJTM,374300.0
BKDP,0.0
BKSL,7075200.0
BKSW,0.0
BLES,0.0
BLOG,-24200.0
BLTA,0.0
BLTZ,0.0
BLUE,-223400.0
BMAS,0.0
BMBL,0.0
BMHS,45800.0
BMRI,33741800.0
BMSR,0.0
BMTR,-3341500.0
BNBA,-51100.0
BNBR,1660300.0
BNGA,-1401700.0
BNII,-1300.0
BNLI,-100.0
BOAT,-544600.0
BOBA,0.0
BOGA,10300.0
BOLA,-186000.0
BOLT,-13000.0
BOSS,0.0
BPFI,-2000.0
BPII,-10000.0
BPTR,0.0
BRAM,-500.0
BREN,-65600.0
BRIS,-1137600.0
BRMS,-17999700.0
BRNA,0.0
BRPT,2074300.0
BRRC,420800.0
BSBK,-658300.0
BSDE,-219600.0
BSIM,0.0
BSML,846100.0
BSSR,-200.0
BSWD,0.0
BTEK,10000.0
BTEL,0.0
BTON,0.0
BTPN,900.0
BTPS,3597900.0
BUAH,-9700.0
BUDI,8300.0
BUKA,-14817600.0
BUKK,-48100.0
BULL,-2075700.0
BUMI,-487670800.0
BUVA,-16450400.0
BVIC,141100.0
BWPT,-597000.0
BYAN,-400.0
CAKK,9800.0
CAMP,92000.0
CANI,0.0
CARE,-703300.0
CARS,-2179000.0
CASA,-89400.0
CASH,456000.0
CASS,-1600.0
CBDK,81700.0
CBMF,0.0
CBPE,0.0
CBRE,-3126700.0
CBUT,0.0
CCSI,62500.0
CDIA,-7662000.0
CEKA,-500.0
CENT,-553600.0
CFIN,-600.0
CGAS,-219000.0
CHEK,-173100.0
CHEM,-2369900.0
CHIP,0.0
CINT,0.0
CITA,3600.0
CITY,-362400.0
CLAY,-4200.0
CLEO,-1510200.0
CLPI,-9400.0
CMNP,-700.0
CMNT,-763000.0
CMPP,0.0
CMRY,-868600.0
CNKO,-1470500.0
CNMA,505100.0
CNTB,0.0
CNTX,0.0
COAL,-9192300.0
COCO,-50000.0
COIN,-879700.0
COWL,0.0
CPIN,435700.0
CPRI,0.0
CPRO,12850400.0
CRAB,-29200.0
CRSN,-27300.0
CSAP,0.0
CSIS,-467600.0
CSMI,-235100.0
CSRA,-6800.0
CTBN,2500.0
CTRA,-7042400.0
CTTH,-993700.0
CUAN,11666100.0
CYBR,266800.0
DAAZ,51300.0
DADA,0.0
DART,0.0
DATA,-501800.0
DAYA,0.0
DCII,-100.0
DEAL,0.0
DEFI,0.0
DEPO,9800.0
DEWA,-25804200.0
DEWI,-1647500.0
DFAM,759800.0
DGIK,-193000.0
DGNS,-6500.0
DGWG,-1979900.0
DIGI,0.0
DILD,-1821500.0
DIVA,9000.0
DKFT,-4249300.0
DKHH,-3624200.0
DLTA,900.0
DMAS,-998600.0
DMMX,38900.0
DMND,-400.0
DNAR,-478800.0
DNET,-100.0
DOID,-3028400.0
DOOH,1002600.0
DOSS,-200600.0
DPNS,0.0
DPUM,676200.0
DRMA,-668700.0
DSFI,-2306400.0
DSNG,-2901200.0
DSSA,-156600.0
DUCK,0.0
DUTI,0.0
DVLA,0.0
DWGL,-103500.0
DYAN,-21200.0
EAST,452400.0
ECII,337200.0
EDGE,0.0
EKAD,-172300.0
ELIT,406700.0
ELPI,0.0
ELSA,-21636100.0
ELTY,50000.0
EMAS,-658500.0
EMDE,-100.0
EMTK,-5460200.0
ENAK,0.0
ENRG,56554200.0
ENVY,0.0
ENZO,0.0
EPAC,0.0
EPMT,5000.0
ERAA,-605500.0
ERAL,-496000.0
ERTX,-31400.0
ESIP,1427500.0
ESSA,-4702400.0
ESTA,-77600.0
ESTI,431300.0
ETWA,0.0
EURO,0.0
EXCL,4119100.0
FAPA,8200.0
FAST,-588500.0
FASW,0.0
FILM,1999700.0
FIMP,0.0
FIRE,-196800.0
FISH,-49900.0
FITT,-696900.0
FLMC,0.0
FMII,0.0
FOLK,-1034500.0
FOOD,0.0
FORE,-99600.0
FORU,-7000.0
FPNI,-1562700.0
FUJI,146800.0
FUTR,-5418100.0
FWCT,7400.0
GAMA,0.0
GDST,-501600.0
GDYR,238500.0
GEMA,1244500.0
GEMS,200.0
GGRM,-236100.0
GGRP,196000.0
GHON,0.0
GIAA,-180000.0
GJTL,-710300.0
GLOB,0.0
GLVA,0.0
GMFI,-1600000.0
GMTD,-7800.0
GOLD,0.0
GOLF,-2185200.0
GOLL,0.0
GOOD,0.0
GOTO,-1086768900.0
GOTOM,0.0
GPRA,-2441500.0
GPSO,-905100.0
GRIA,13600.0
GRPH,0.0
GRPM,-6422000.0
GSMF,-92500.0
GTBO,-9000.0
GTRA,89200.0
GTSI,-3409300.0
GULA,-235500.0
GUNA,0.0
GWSA,34000.0
GZCO,-2825500.0
HADE,0.0
HAIS,1600.0
HAJJ,-571100.0
HALO,1735300.0
HATM,-2785300.0
HBAT,181200.0
HDFA,0.0
HDIT,-797200.0
HEAL,-417500.0
HELI,-12300.0
HERO,102400.0
HEXA,-24900.0
HGII,83600.0
HILL,0.0
HITS,0.0
HKMU,0.0
HMSP,-4867600.0
HOKI,-1081100.0
HOME,0.0
HOMI,633800.0
HOPE,-1888900.0
HOTL,0.0
HRME,0.0
HRTA,-2895500.0
HRUM,746000.0
HUMI,-571700.0
HYGN,434000.0
IATA,-45191500.0
IBFN,0.0
IBOS,0.0
IBST,0.0
ICBP,-1298800.0
ICON,0.0
IDEA,2523700.0
IDPR,-33700.0
