Ticker,ForeignNet
AADI,10099700.0
AALI,133800.0
ABBA,0.0
ABDA,0.0
ABMM,-311600.0
ACES,7366800.0
ACRO,-203500.0
ACST,50300.0
ADCP,0.0
ADES,-300.0
ADHI,-585400.0
ADMF,-2300.0
ADMG,-53700.0
ADMR,17618600.0
ADRO,18780700.0
AEGS,-18000.0
AGAR,0.0
AGII,0.0
AGRO,-1526200.0
AGRS,-354100.0
AHAP,531800.0
AIMS,-1400.0
AISA,-92500.0
AKKU,0.0
AKPI,0.0
AKRA,-1660700.0
AKSI,-75900.0
ALDO,3500.0
ALII,1650200.0
ALKA,0.0
ALMI,0.0
ALTO,0.0
AMAG,-500.0
AMAN,-144200.0
AMAR,0.0
AMFG,6200.0
AMIN,-100.0
AMMN,-3834400.0
AMMS,-74100.0
AMOR,-1000.0
AMRT,4263400.0
ANDI,0.0
ANJT,300.0
ANTM,10026200.0
APEX,10594300.0
APIC,-398900.0
APII,-7700.0
APLI,0.0
APLN,24463700.0
ARCI,-688600.0
AREA,-100.0
ARGO,400.0
ARII,88300.0
ARKA,5000.0
ARKO,-48400.0
ARMY,0.0
ARNA,-700500.0
ARTA,-600.0
ARTI,0.0
ARTO,-131400.0
ASBI,0.0
ASDM,0.0
ASGR,-251200.0
ASHA,3159800.0
ASII,1145600.0
ASJT,0.0
ASLC,-247600.0
ASLI,-645200.0
ASMI,10000.0
ASPI,-107500.0
ASPR,1608100.0
ASRI,-1149900.0
ASRM,-4600.0
ASSA,-2310900.0
ATAP,-89200.0
ATIC,12300.0
ATLA,-178000.0
AUTO,-1861300.0
AVIA,-7721200.0
AWAN,0.0
AXIO,-21000.0
AYAM,-1139100.0
AYLS,-27900.0
BABP,73800.0
BABY,144300.0
BACA,-316900.0
BAIK,333600.0
BAJA,-12600.0
BALI,-600.0
BANK,-98800.0
BAPA,0.0
BAPI,0.0
BATA,0.0
BATR,1500.0
BAUT,0.0
BAYU,0.0
BBCA,4432300.0
BBHI,31800.0
BBKP,6059500.0
BBLD,20600.0
BBMD,100.0
BBNI,-41911700.0
BBRI,-37933400.0
BBRM,-662300.0
BBSI,800.0
BBSS,171900.0
BBTN,-4839900.0
BBYB,2227300.0
BCAP,-33100.0
BCIC,-85200.0
BCIP,-105900.0
BDKR,709900.0
BDMN,-321900.0
BEBS,0.0
BEEF,918400.0
BEER,-33500.0
BEKS,0.0
