Date,Close,High,Low,Open,Volume
2025-11-25,2260.0,2260.0,2170.0,2180.0,23118400
2025-11-26,2270.0,2280.0,2190.0,2260.0,14242800
2025-11-27,2300.0,2390.0,2290.0,2290.0,26109900
2025-11-28,2390.0,2440.0,2270.0,2300.0,22715800
2025-12-01,2340.0,2430.0,2300.0,2410.0,24155000
2025-12-02,2350.0,2350.0,2300.0,2330.0,11050900
2025-12-03,2310.0,2370.0,2310.0,2370.0,3206800
2025-12-04,2310.0,2330.0,2240.0,2310.0,13622200
2025-12-05,2350.0,2370.0,2310.0,2320.0,9291600
2025-12-08,2440.0,2600.0,2360.0,2360.0,39802800
2025-12-09,2400.0,2510.0,2370.0,2460.0,15549200
2025-12-10,2400.0,2510.0,2390.0,2440.0,27876400
2025-12-11,2380.0,2420.0,2320.0,2400.0,9782700
2025-12-12,2360.0,2400.0,2360.0,2380.0,10060100
2025-12-15,2370.0,2470.0,2350.0,2380.0,16679400
2025-12-16,2380.0,2480.0,2290.0,2390.0,22235500
2025-12-17,2470.0,2470.0,2380.0,2400.0,13684500
2025-12-18,2390.0,2480.0,2380.0,2470.0,16617700
2025-12-19,2430.0,2470.0,2360.0,2400.0,32107500
2025-12-22,2440.0,2470.0,2420.0,2450.0,8101100
2025-12-23,2420.0,2440.0,2370.0,2440.0,7507400
2025-12-24,2400.0,2430.0,2390.0,2420.0,10431800
2025-12-29,2440.0,2460.0,2410.0,2420.0,6600500
2025-12-30,2320.0,2450.0,2310.0,2440.0,14341900
2026-01-02,2360.0,2370.0,2330.0,2330.0,3646300
2026-01-05,2330.0,2360.0,2270.0,2360.0,11877800
2026-01-06,2160.0,2340.0,2140.0,2330.0,50503300
2026-01-07,2150.0,2220.0,2130.0,2190.0,24545600
2026-01-08,2170.0,2200.0,2130.0,2160.0,21252200
2026-01-09,2160.0,2190.0,2140.0,2170.0,9026400
2026-01-12,2170.0,2220.0,2130.0,2190.0,17110200
2026-01-13,2160.0,2200.0,2110.0,2200.0,25076100
2026-01-14,2230.0,2280.0,2160.0,2160.0,27273000
2026-01-15,2260.0,2270.0,2200.0,2250.0,12301600
2026-01-19,2260.0,2340.0,2230.0,2280.0,19529600
2026-01-20,2240.0,2320.0,2240.0,2260.0,14193000
2026-01-21,2230.0,2270.0,2190.0,2240.0,11181700
2026-01-22,2420.0,2440.0,2230.0,2230.0,31220400
2026-01-23,2400.0,2450.0,2350.0,2440.0,37541800
2026-01-26,2400.0,2600.0,2340.0,2430.0,80586000
2026-01-27,2460.0,2490.0,2360.0,2400.0,21018500
2026-01-28,2200.0,2390.0,2140.0,2390.0,40987700
2026-01-29,2240.0,2260.0,2050.0,2150.0,36856100
2026-01-30,2230.0,2300.0,2210.0,2240.0,30821400
2026-02-02,2220.0,2260.0,2130.0,2250.0,17305700
2026-02-03,2200.0,2250.0,2150.0,2250.0,14427700
2026-02-04,2140.0,2220.0,2110.0,2220.0,16190800
2026-02-05,2130.0,2190.0,2100.0,2140.0,17728900
2026-02-06,2150.0,2160.0,2020.0,2090.0,11714100
2026-02-09,2110.0,2160.0,2060.0,2150.0,37394400
2026-02-10,2200.0,2220.0,2140.0,2140.0,47168600
2026-02-11,2210.0,2230.0,2180.0,2220.0,48600500
2026-02-12,2220.0,2260.0,2190.0,2230.0,36998500
2026-02-13,2230.0,2280.0,2200.0,2250.0,37287600
2026-02-18,2240.0,2270.0,2190.0,2230.0,21448000
2026-02-19,2220.0,2260.0,2190.0,2260.0,20172400
2026-02-20,2260.0,2280.0,2200.0,2240.0,21442500
2026-02-23,2330.0,2340.0,2240.0,2270.0,30501000
2026-02-24,2330.0,2390.0,2300.0,2330.0,50499500
2026-02-25,2380.0,2420.0,2340.0,2350.0,40564400
