BUMI.JK
BBCA.JK
ANTM.JK
DEWA.JK
BMRI.JK
BBRI.JK
PTRO.JK
BRMS.JK
ADRO.JK
TLKM.JK
RAJA.JK
ASII.JK
INET.JK
GOTO.JK
MDKA.JK
BUVA.JK
ARCI.JK
MBMA.JK
MINA.JK
BRPT.JK
BULL.JK
AMMN.JK
BKSL.JK
INCO.JK
TINS.JK
BBNI.JK
UNTR.JK
EMAS.JK
SUPA.JK
NCKL.JK
ADMR.JK
CUAN.JK
DSSA.JK
IMPC.JK
ENRG.JK
CDIA.JK
RATU.JK
WIFI.JK
INDY.JK
PANI.JK
EXCL.JK
GTSI.JK
MEDC.JK
BIPI.JK
AADI.JK
KIJA.JK
BREN.JK
INKP.JK
CBDK.JK
HRTA.JK
PGAS.JK
OASA.JK
RMKE.JK
VKTR.JK
JPFA.JK
NICL.JK
RLCO.JK
PNLF.JK
PSAB.JK
COIN.JK
LPKR.JK
TOBA.JK
EMTK.JK
INDF.JK
PWON.JK
ICBP.JK
HRUM.JK
TCPI.JK
CPRO.JK
BRIS.JK
PGEO.JK
UNVR.JK
PADI.JK
RMKO.JK
IRSX.JK
KLBF.JK
AMRT.JK
PSKT.JK
ESSA.JK
HUMI.JK
BBYB.JK
SSIA.JK
TRIN.JK
PTBA.JK
ZATA.JK
TPIA.JK
BBKP.JK
ISAT.JK
DADA.JK
TRUE.JK
SRTG.JK
ELSA.JK
PBSA.JK
