Ticker,Sector
INPP.JK,Real Estate
INRU.JK,Basic Materials
INTA.JK,Industrials
INTD.JK,Basic Materials
INTP.JK,Basic Materials
IPOL.JK,Consumer Cyclical
ISAT.JK,Communication Services
ISSP.JK,Basic Materials
ITMA.JK,Basic Materials
ITMG.JK,Energy
JAWA.JK,Consumer Defensive
JECC.JK,Industrials
JIHD.JK,Consumer Cyclical
JKON.JK,Industrials
JPFA.JK,Consumer Defensive
JRPT.JK,Real Estate
JSMR.JK,Industrials
JSPT.JK,Real Estate
JTPE.JK,Industrials
KAEF.JK,Healthcare
KARW.JK,Industrials
KBLI.JK,Industrials
KBLM.JK,Industrials
KBLV.JK,Communication Services
KBRI.JK,Unknown
KDSI.JK,Consumer Cyclical
KIAS.JK,Industrials
KICI.JK,Consumer Cyclical
KIJA.JK,Real Estate
KKGI.JK,Energy
KLBF.JK,Healthcare
KOBX.JK,Industrials
KOIN.JK,Industrials
KONI.JK,Consumer Cyclical
KOPI.JK,Energy
KPIG.JK,Real Estate
KRAS.JK,Basic Materials
KREN.JK,Financial Services
LAPD.JK,Unknown
LCGP.JK,Unknown
LEAD.JK,Industrials
LINK.JK,Communication Services
LION.JK,Industrials
LMAS.JK,Unknown
LMPI.JK,Consumer Cyclical
LMSH.JK,Industrials
LPCK.JK,Real Estate
LPGI.JK,Financial Services
LPIN.JK,Consumer Cyclical
LPKR.JK,Healthcare
LPLI.JK,Real Estate
LPPF.JK,Consumer Cyclical
LPPS.JK,Financial Services
LRNA.JK,Industrials
LSIP.JK,Consumer Defensive
LTLS.JK,Basic Materials
MAGP.JK,Unknown
MAIN.JK,Consumer Defensive
MAPI.JK,Consumer Cyclical
MAYA.JK,Financial Services
MBAP.JK,Energy
MBSS.JK,Industrials
MBTO.JK,Consumer Defensive
MCOR.JK,Financial Services
MDIA.JK,Communication Services
MDKA.JK,Basic Materials
MDLN.JK,Real Estate
MDRN.JK,Industrials
MEDC.JK,Energy
MEGA.JK,Financial Services
MERK.JK,Healthcare
META.JK,Unknown
MFMI.JK,Industrials
MGNA.JK,Financial Services
MICE.JK,Consumer Defensive
MIDI.JK,Consumer Defensive
MIKA.JK,Healthcare
MIRA.JK,Energy
MITI.JK,Industrials
MKPI.JK,Real Estate
MLBI.JK,Consumer Defensive
MLIA.JK,Industrials
MLPL.JK,Consumer Cyclical
MLPT.JK,Technology
MMLP.JK,Real Estate
MNCN.JK,Communication Services
MPMX.JK,Consumer Cyclical
MPPA.JK,Consumer Cyclical
MRAT.JK,Consumer Defensive
MREI.JK,Financial Services
MSKY.JK,Communication Services
MTDL.JK,Technology
MTFN.JK,Energy
MTLA.JK,Real Estate
MTSM.JK,Real Estate
MYOH.JK,Energy
MYOR.JK,Consumer Defensive
MYTX.JK,Consumer Cyclical
NELY.JK,Industrials
NIKL.JK,Industrials
NIRO.JK,Real Estate
NISP.JK,Financial Services
NOBU.JK,Financial Services
NRCA.JK,Industrials
OCAP.JK,Unknown
OKAS.JK,Basic Materials
OMRE.JK,Real Estate
PADI.JK,Financial Services
PALM.JK,Financial Services
PANR.JK,Consumer Cyclical
PANS.JK,Financial Services
PBRX.JK,Consumer Cyclical
PDES.JK,Consumer Cyclical
PEGE.JK,Financial Services
PGAS.JK,Utilities
PGLI.JK,Consumer Cyclical
PICO.JK,Consumer Cyclical
PJAA.JK,Consumer Cyclical
PKPK.JK,Industrials
PLAS.JK,Unknown
PLIN.JK,Real Estate
PNBN.JK,Financial Services
PNBS.JK,Financial Services
PNIN.JK,Financial Services
PNLF.JK,Financial Services
PSAB.JK,Basic Materials
PSDN.JK,Consumer Defensive
PSKT.JK,Consumer Cyclical
